Product Name,URL,CSS Selector,Current Price,Target Price,Price Change Status,Currency
Bayridge Leather Chelsea Boots,https://www.jonesbootmaker.com/products/bayridge-leather-chelsea-boots-bayridge2-324-403-british-tan/British%20Tan/10?gad_source=1&gad_campaignid=22715557436&gclid=Cj0KCQjw8eTFBhCXARIsAIkiuOyJd7cR0g509uKO2DBpjsrZfRNHVRagLFwVAI2FAn4W6Qo8H1K9rn8aAt9WEALw_wcB,main#main-content > div > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > span:nth-of-type(2) > span > span > div,£71.20,80.00,same
Ealing Leather Ankle Boots,https://www.jonesbootmaker.com/products/ealing-leather-ankle-boots-ealing-321-007-dark-brown/Dark%20Brown/8?gad_source=1&gad_campaignid=22715557436&gclid=Cj0KCQjwzt_FBhCEARIsAJGFWVmgzCebQ-3-HMYxk5FHRvse3COwS0eEqiLV_zDkIXZebhipU_2jLOYaAhUZEALw_wcB,main#main-content > div > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > span > div,£130.00,90.00,same
Odele Black,https://www.dunelondon.com/odele-chiselled-toe-kitten-heel-chelsea-ankle-boots-black-0091510780001600.html,div#maincontent > div:nth-of-type(2) > div > div:nth-of-type(4) > div > div > div:nth-of-type(2) > div > div > div > span > span,£159,70.00,same
Leather Chelsea Block Heel Boots,https://www.marksandspencer.com/leather-chelsea-block-heel-boots/p/clp23014657?color=BLACK&extid=ps_ps-pla-pmax_ggl_3pb_ch__-_UK_-_-_womenswear&gclsrc=aw.ds&gad_source=1&gad_campaignid=22697911888&gclid=CjwKCAjw_fnFBhB0EiwAH_MfZsRsvRaUNnM4vixGI4N97ZnOi8xen5GVYccKu016OgZJzSVnE_rwFxoCDc0QAvD_BwE,div#product-info > div > div:nth-of-type(2) > div > div:nth-of-type(3) > div > div > div > p,149,80.00,new
Bayridge Leather Chelsea Boots,https://www.jonesbootmaker.com/products/bayridge-leather-chelsea-boots-bayridge2-324-403-british-tan/British%20Tan/10?gad_source=1&gad_campaignid=22715557436&gclid=Cj0KCQjw8eTFBhCXARIsAIkiuOyJd7cR0g509uKO2DBpjsrZfRNHVRagLFwVAI2FAn4W6Qo8H1K9rn8aAt9WEALw_wcB,main#main-content > div > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > span:nth-of-type(2) > span > span > div,71.20,69.00,new
Bayridge Leather Chelsea,https://www.jonesbootmaker.com/products/bayridge-leather-chelsea-boots-bayridge2-324-403-british-tan/British%20Tan/10?gad_source=1&gad_campaignid=22715557436&gclid=Cj0KCQjw8eTFBhCXARIsAIkiuOyJd7cR0g509uKO2DBpjsrZfRNHVRagLFwVAI2FAn4W6Qo8H1K9rn8aAt9WEALw_wcB,main#main-content > div > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > span:nth-of-type(2) > span > span > div,71.20,50.00,new,GBP
Bayridge Leather Chelsea Boots - BAYRIDGE2 / 324 403 - British Tan - BAYRIDGE2 / 324 403 - British Tan / 10,https://www.jonesbootmaker.com/products/bayridge-leather-chelsea-boots-bayridge2-324-403-british-tan/British%20Tan/10?gad_source=1&gad_campaignid=22715557436&gclid=Cj0KCQjw8eTFBhCXARIsAIkiuOyJd7cR0g509uKO2DBpjsrZfRNHVRagLFwVAI2FAn4W6Qo8H1K9rn8aAt9WEALw_wcB,main#main-content > div > div > div:nth-of-type(2) > div > div:nth-of-type(2) > div > div > div > div > span:nth-of-type(2) > span > span > div,71.20,50.00,new,GBP
